temperature,time,stoichiometry,production_rate_(g/hr),yield,priority,round
123,21,0.58,PENDING,PENDING,0.0,PENDING
123,21,0.555,PENDING,PENDING,0.0,PENDING
123,21,0.53,PENDING,PENDING,0.0,PENDING
123,21,0.505,PENDING,PENDING,0.0,PENDING
123,21,0.48,PENDING,PENDING,0.0,PENDING
123,21,0.455,PENDING,PENDING,0.0,PENDING
123,21,0.43,PENDING,PENDING,0.0,PENDING
123,21,0.405,PENDING,PENDING,0.0,PENDING
123,21,0.38,PENDING,PENDING,0.0,PENDING
123,21,0.355,PENDING,PENDING,0.0,PENDING
123,21,0.33,PENDING,PENDING,0.0,PENDING
123,19,0.655,PENDING,PENDING,0.0,PENDING
123,19,0.63,PENDING,PENDING,0.0,PENDING
123,19,0.605,PENDING,PENDING,0.0,PENDING
123,19,0.58,PENDING,PENDING,0.0,PENDING
123,19,0.555,PENDING,PENDING,0.0,PENDING
123,19,0.53,PENDING,PENDING,0.0,PENDING
123,19,0.505,PENDING,PENDING,0.0,PENDING
123,19,0.48,PENDING,PENDING,0.0,PENDING
123,19,0.455,PENDING,PENDING,0.0,PENDING
123,19,0.43,PENDING,PENDING,0.0,PENDING
123,19,0.405,PENDING,PENDING,0.0,PENDING
123,19,0.38,PENDING,PENDING,0.0,PENDING
123,19,0.355,PENDING,PENDING,0.0,PENDING
123,19,0.33,PENDING,PENDING,0.0,PENDING
123,17,0.655,PENDING,PENDING,0.0,PENDING
123,17,0.63,PENDING,PENDING,0.0,PENDING
123,17,0.605,PENDING,PENDING,0.0,PENDING
123,17,0.58,PENDING,PENDING,0.0,PENDING
123,17,0.555,PENDING,PENDING,0.0,PENDING
123,17,0.53,PENDING,PENDING,0.0,PENDING
123,17,0.505,PENDING,PENDING,0.0,PENDING
123,17,0.48,PENDING,PENDING,0.0,PENDING
123,17,0.455,PENDING,PENDING,0.0,PENDING
123,17,0.43,PENDING,PENDING,0.0,PENDING
123,17,0.405,PENDING,PENDING,0.0,PENDING
123,17,0.38,PENDING,PENDING,0.0,PENDING
123,17,0.355,PENDING,PENDING,0.0,PENDING
123,17,0.33,PENDING,PENDING,0.0,PENDING
